areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,2021-10-17,13244,8497868
overview,United Kingdom,K02000001,2021-10-16,31293,8484624
overview,United Kingdom,K02000001,2021-10-15,41622,8453331
overview,United Kingdom,K02000001,2021-10-14,45242,8411709
overview,United Kingdom,K02000001,2021-10-13,46766,8366467
overview,United Kingdom,K02000001,2021-10-12,47363,8319701
overview,United Kingdom,K02000001,2021-10-11,49380,8272338
overview,United Kingdom,K02000001,2021-10-10,35778,8222958
overview,United Kingdom,K02000001,2021-10-09,31675,8187180
overview,United Kingdom,K02000001,2021-10-08,34956,8155505
overview,United Kingdom,K02000001,2021-10-07,37848,8120549
overview,United Kingdom,K02000001,2021-10-06,38575,8082701
overview,United Kingdom,K02000001,2021-10-05,38573,8044126
overview,United Kingdom,K02000001,2021-10-04,43021,8005553
overview,United Kingdom,K02000001,2021-10-03,31467,7962532
overview,United Kingdom,K02000001,2021-10-02,25873,7931065
overview,United Kingdom,K02000001,2021-10-01,28594,7905192
overview,United Kingdom,K02000001,2021-09-30,32000,7876598
overview,United Kingdom,K02000001,2021-09-29,34298,7844598
overview,United Kingdom,K02000001,2021-09-28,35919,7810300
overview,United Kingdom,K02000001,2021-09-27,40909,7774381
overview,United Kingdom,K02000001,2021-09-26,31516,7733472
overview,United Kingdom,K02000001,2021-09-25,27853,7701956
overview,United Kingdom,K02000001,2021-09-24,31599,7674103
overview,United Kingdom,K02000001,2021-09-23,35215,7642504
overview,United Kingdom,K02000001,2021-09-22,36153,7607289
overview,United Kingdom,K02000001,2021-09-21,38264,7571136
overview,United Kingdom,K02000001,2021-09-20,40108,7532872
overview,United Kingdom,K02000001,2021-09-19,30544,7492764
overview,United Kingdom,K02000001,2021-09-18,26305,7462220
overview,United Kingdom,K02000001,2021-09-17,29061,7435915
overview,United Kingdom,K02000001,2021-09-16,29178,7406854
overview,United Kingdom,K02000001,2021-09-15,29946,7377676
overview,United Kingdom,K02000001,2021-09-14,30937,7347730
overview,United Kingdom,K02000001,2021-09-13,34125,7316793
