Month,Weekly earnings (£)
Jan 00,307
Feb 00,300
Mar 00,310
Apr 00,310
May 00,312
Jun 00,311
Jul 00,314
Aug 00,315
Sep 00,317
Oct 00,318
Nov 00,320
Dec 00,325
Jan 01,324
Feb 01,326
Mar 01,325
Apr 01,328
May 01,328
Jun 01,329
Jul 01,329
Aug 01,331
Sep 01,332
Oct 01,333
Nov 01,334
Dec 01,336
Jan 02,336
Feb 02,335
Mar 02,335
Apr 02,338
May 02,340
Jun 02,341
Jul 02,342
Aug 02,342
Sep 02,342
Oct 02,342
Nov 02,343
Dec 02,344
Jan 03,345
Feb 03,343
Mar 03,348
Apr 03,349
May 03,349
Jun 03,350
Jul 03,351
Aug 03,353
Sep 03,354
Oct 03,356
Nov 03,356
Dec 03,358
Jan 04,359
Feb 04,354
Mar 04,361
Apr 04,364
May 04,364
Jun 04,365
Jul 04,367
Aug 04,368
Sep 04,371
Oct 04,373
Nov 04,373
Dec 04,374
Jan 05,377
Feb 05,374
Mar 05,377
Apr 05,378
May 05,381
Jun 05,381
Jul 05,384
Aug 05,387
Sep 05,388
Oct 05,388
Nov 05,390
Dec 05,391
Jan 06,393
Feb 06,397
Mar 06,398
Apr 06,396
May 06,398
Jun 06,402
Jul 06,401
Aug 06,401
Sep 06,401
Oct 06,404
Nov 06,406
Dec 06,413
Jan 07,421
Feb 07,426
Mar 07,417
Apr 07,413
May 07,416
Jun 07,419
Jul 07,420
Aug 07,421
Sep 07,423
Oct 07,421
Nov 07,425
Dec 07,425
Jan 08,439
Feb 08,445
Mar 08,440
Apr 08,430
May 08,433
Jun 08,432
Jul 08,434
Aug 08,434
Sep 08,434
Oct 08,435
Nov 08,434
Dec 08,436
Jan 09,434
Feb 09,419
Mar 09,435
Apr 09,437
May 09,436
Jun 09,436
Jul 09,435
Aug 09,436
Sep 09,437
Oct 09,437
Nov 09,439
Dec 09,439
Jan 10,440
Feb 10,442
Mar 10,442
Apr 10,442
May 10,444
Jun 10,444
Jul 10,443
Aug 10,445
Sep 10,447
Oct 10,447
Nov 10,448
Dec 10,449
Jan 11,453
Feb 11,453
Mar 11,453
Apr 11,452
May 11,453
Jun 11,457
Jul 11,456
Aug 11,454
Sep 11,454
Oct 11,456
Nov 11,457
Dec 11,457
Jan 12,455
Feb 12,457
Mar 12,457
Apr 12,460
May 12,460
Jun 12,462
Jul 12,463
Aug 12,464
Sep 12,462
Oct 12,462
Nov 12,463
Dec 12,461
Jan 13,461
Feb 13,462
Mar 13,456
Apr 13,475
May 13,468
Jun 13,467
Jul 13,466
Aug 13,466
Sep 13,466
Oct 13,466
Nov 13,466
Dec 13,468
Jan 14,469
Feb 14,472
Mar 14,461
Apr 14,469
May 14,469
Jun 14,470
Jul 14,468
Aug 14,470
Sep 14,473
Oct 14,475
Nov 14,475
Dec 14,478
Jan 15,476
Feb 15,479
Mar 15,480
Apr 15,481
May 15,482
Jun 15,481
Jul 15,484
Aug 15,484
Sep 15,483
Oct 15,484
Nov 15,484
Dec 15,487
Jan 16,489
Feb 16,486
Mar 16,492
Apr 16,493
May 16,493
Jun 16,493
Jul 16,496
Aug 16,495
Sep 16,495
Oct 16,497
Nov 16,498
Dec 16,496
Jan 17,497
Feb 17,499
Mar 17,502
Apr 17,502
May 17,503
Jun 17,507
Jul 17,504
Aug 17,507
Sep 17,509
Oct 17,508
Nov 17,509
Dec 17,511
Jan 18,510
Feb 18,513
Mar 18,519
Apr 18,513
May 18,515
Jun 18,518
Jul 18,520
Aug 18,523
Sep 18,524
Oct 18,530
Nov 18,525
Dec 18,527
Jan 19,529
Feb 19,531
Mar 19,533
Apr 19,533
May 19,535
Jun 19,538
Jul 19,541
Aug 19,540
Sep 19,546
Oct 19,542
Nov 19,542
Dec 19,540
Jan 20,545
Feb 20,546
Mar 20,542
Apr 20,527
May 20,528
Jun 20,530
Jul 20,540
Aug 20,550
Sep 20,560
Oct 20,563
Nov 20,567
Dec 20,569
Jan 21,568
Feb 21,567
Mar 21,568
Apr 21,572
May 21,575
Jun 21,577
Jul 21,578
Aug 21,581
